Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-05-21,WARWICK FARM,1,FEAR NO EVIL,3,ANNA ROPER,Gai Waterhouse & Adrian Bott,6.0,1.0,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,FIFTYFIVECHEVY,4,NASH RAWILLER,Annabel & Rob Archibald,6.5,4.0,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,JUST FEELIN' LUCKY,2,JACE MCMURRAY,Michael Freedman,1.01,,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,HOVLAND,7,BRAITH NOCK,John O'Shea & Tom Charlton,1.01,,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,ALABAMA FOX,2,JAMES MCDONALD,Annabel & Rob Archibald,2.0,2.0,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,WILLIE OPPA,1,ZAC LLOYD,Chris Waller,3.2,3.0,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,KILKENNY,4,TOMMY BERRY,Chris Waller,1.01,,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,1,TACT,8,KERRIN MCEVOY,Richard & Will Freedman,1.01,,1600,3YO BM68,HVY10,SHWRY,8
2025-05-21,WARWICK FARM,2,SEQUISTA,10,TYLER SCHILLER,Gerald Ryan & Sterling Alexiou,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,DUBBO BOY,11,ASHLEY MORGAN,Danny Williams,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,FOREIGN ENCOUNTER,12,JAY FORD,Danny Williams,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,JET,5,TIM CLARK,Gai Waterhouse & Adrian Bott,4.0,4.0,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,ELLISMAYNE,6,CHAD SCHOFIELD,John Thompson,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,MASTER OF THE AIR,14,JAMES MCDONALD,Chris Waller,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,IN LIMBO,9,TYLER SCHILLER,Gerald Ryan & Sterling Alexiou,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,CHAMPERE,7,DYLAN GIBBONS,"Michael, John & Wayne Hawkes",1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,CHANGE MY ADDRESS,3,MOLLY BOURKE,John Sargent,2.8,1.0,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,MARINERA,1,RACHEL KING,Bjorn Baker,3.5,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,NAZWAH,8,REGAN BAYLISS,Peter Snowden,1.01,,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,THE PEARLS,4,ZAC LLOYD,Chris Waller,5.5,2.0,1100,2YO MDN,HVY10,SHWRY,14
2025-05-21,WARWICK FARM,2,SAPLING,3,REECE JONES,Sara Ryan,1.01,,1100,2YO MDN,HVY10,SHWRY,14
