Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-01-01,INVERELL,1,BOLD HOI HO,8,NOT NOTIFIED,Sally Taylor,3.2,,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,LEICA MODEL,6,BEN LOOKER,Stirling Osland,3.9,1.0,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,FLYING BANJO,4,SHAYLEIGH INGELSE,Stephen Dixon,4.6,4.0,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,JAKAT,7,WENDY PEEL,Ridge Wilson,12.0,3.0,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,RAPID OUTLAW,3,MIKAYLA WEIR,Stirling Osland,2.6,2.0,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,MIMESSI,1,COBI VITLER,Paddy Cunningham,6.5,,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,INDIAN THUNDER,2,LEESHELLE SMALL,Kevin Dixon,19.0,,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,1,AARKUS,5,SHANNEN LLEWELLYN,Craig Martin,16.0,,1600,BM66,GOOD3,OCAST,8
2025-01-01,INVERELL,2,DAULTON,4,LUKE ROLLS,Colt Prosser,23.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,HE IS THE KISS,9,BILLY CRAY,Nikki Pollock,23.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,HEFTY PRICE,2,SHANNEN LLEWELLYN,Jane Clement,5.5,2.0,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,JUKEBOX EDITION,5,SHAYLEIGH INGELSE,Kevin Hausfeld,41.0,3.0,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,MELISSEUS,6,BEN LOOKER,John Shelton,26.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,STAINLESS STEEL,11,COBI VITLER,Paddy Cunningham,101.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,SUNSET DRIVE,7,SIENA GRIMA,Kevin Dixon,151.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,TAKEOVER LAD,8,MICHAEL HEAGNEY,Wayne Brown,2.6,4.0,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,A LITTLE BIT IRISH,1,HANNAH JOHNSTON,Tracy Bell,126.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,CRESTA RUN,3,NICK PALMER,Brett Cavanough,2.15,1.0,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,2,KISS ME BABY,10,WENDY PEEL,Paddy Cunningham,101.0,,1050,MDN,GOOD3,OCAST,11
2025-01-01,INVERELL,3,INVAIDA PRINCE,4,SIENA GRIMA,Troy O'Neile,16.0,,1400,CL1,GOOD3,OCAST,11
2025-01-01,INVERELL,3,TRUMPTY DUMPTY,10,MATTHEW MCGUREN,Neville Stewart,6.5,3.0,1400,CL1,GOOD3,OCAST,11
2025-01-01,INVERELL,3,ELECTRIC EVIE,1,MICHAEL HEAGNEY,Ridge Wilson,2.7,2.0,1400,CL1,GOOD3,OCAST,11
2025-01-01,INVERELL,3,CORPSMAN,2,LUKE ROLLS,Jeremy Sylvester,2.9,,1400,CL1,GOOD3,OCAST,11
2025-01-01,INVERELL,3,RETHINK IT,5,MIKAYLA WEIR,Terry Vidler,10.0,1.0,1400,CL1,GOOD3,OCAST,11
