Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-01-11,WYONG,1,BARBAROSSA,1,ZAC LLOYD,James Cummings,2.9,4.0,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,DAMIEN,2,JAY FORD,Kris Lees,4.4,2.0,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,NAMASTE,4,ADAM HYERONIMUS,Bjorn Baker,3.1,3.0,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,NORDIC VIKING,1,MOLLY BOURKE,John Sargent,1.01,,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,PINOT NERO,7,AARON BULLOCK,John Ramsey,23.0,,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,CHARLECOTE MILL,3,ASHLEY MORGAN,James Cummings,11.0,,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,GAIL JEANETTE,5,ANNA ROPER,Fabio Martino,21.0,,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,1,KUJENGA,6,HARRY DAVIES,Annabel Neasham & Rob Archibald,11.0,1.0,1200,2YO OPEN,GOOD4,FINE,8
2025-01-11,WYONG,2,LUVOIR,13,BENJAMIN OSMOND,Jason Attard & Lucy Keegan-Attard,11.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,GENERAL SOHO,2,AARON BULLOCK,Paul Perry,11.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,MAGNATEAR,12,ASHLEY MORGAN,Richard & Will Freedman,6.0,1.0,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,DREAMDEEL,1,ADAM HYERONIMUS,Allan Kehoe,19.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,CHEVRON,4,KEAGAN LATHAM,Kristen Buchanan,21.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,IRISH BLISS,9,JAY FORD,Nathan Doyle,6.5,3.0,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,PATRIKA MIST,8,MOLLY BOURKE,Joseph Ible,41.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,EDMOND,3,ANNA ROPER,Kim Waugh,7.0,4.0,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,PUTT FOR DOUGH,13,TOM SHERRY,Mick Attard,9.0,,1600,3YO+ BM72,GOOD4,FINE,15
2025-01-11,WYONG,2,AIX EN PROVENCE,11,ZAC WADICK,Sara Ryan,7.0,2.0,1600,3YO+ BM72,GOOD4,FINE,15
