Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-04-20,NOWRA,1,NO SECOND THOUGHTS,7,NOT NOTIFIED,Bjorn Baker,0.0,,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,HIGHBALLER,4,RUBY SCOTT,Shaun Coady,12.0,,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,UNOWHO,1,SHAUN GUYMER,Natalie Jarvis,5.5,3.0,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,JAMACRI,6,WINONA COSTIN,Bjorn Baker,2.8,4.0,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,GOODNIGHT BARLOW,2,BRODIE LOY,Rob Potter,3.2,,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,DEVGRU,3,CAITLIN SINCLAIR,John Borham,1.01,,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,IT IS TO BE,5,LOUISE DAY,Pat Murphy,4.8,1.0,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,1,SINGLE CROWN,3,JESS TAYLOR,Luke Musson,26.0,2.0,2200,BM58,GOOD4,FINE,8
2025-04-20,NOWRA,2,COMMANDORO,5,WINONA COSTIN,Michael Gatty,13.0,4.0,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,MISS MIKKI ISLE,3,BRODIE LOY,Todd Smart,3.7,,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,ZOUTEMPUS,6,NICK HEYWOOD,Scott Collings,4.2,,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,MOTORBOAT,7,ASHLEY MORGAN,Danielle Seib,8.0,,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,MEDIA COVERAGE,1,REBECCA BRONETT PR,Greg Stephens,41.0,2.0,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,SERIAL OFFENDER,2,LOUISE DAY,Matthew Dale,26.0,3.0,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,SPARKLENGLITTER,4,RICHARD BENSLEY,Pat Murphy,2.3,1.0,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,2,CONSTANTINOU,8,NOT NOTIFIED,Colbey Hill,31.0,,1000,CL1,GOOD4,FINE,8
2025-04-20,NOWRA,3,SHOREMAN,8,NICK HEYWOOD,Matthew Dale,9.0,2.0,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,CAMMI,4,WINONA COSTIN,Terry Robinson,7.5,4.0,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,LOUJEN FRANCAISE,5,RUBY SCOTT,John Morrison,151.0,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,NICCOLINA,6,REBECCA BRONETT PR,Greg Stephens,31.0,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,SNUBA,9,ASHLEY MORGAN,Matthew Dale,4.4,3.0,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,TEILEYA,3,JEAN VAN OVERMEIRE,Luke Musson,101.0,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,ALOTTOSAY,2,JESS TAYLOR,Brian Adams,1.8,1.0,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,ASTERIDE,1,MOLLY BOURKE,Sarah Murray-Leslie,9.5,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,CONSORTING ONE,7,NOT NOTIFIED,Michelle Ritchie,16.0,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,3,FRUIT OF DE VINE,7,JESSICA BROOKES,Pat Murphy,34.0,,1200,MDN,GOOD4,FINE,10
2025-04-20,NOWRA,4,SNAPPY JIM,2,JADE MCKENZIE,Shaun Coady,6.0,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,VIS I DO,7,RYAN BRADLEY,Anthony Mountney,8.5,3.0,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,CAN EXPECT GREATER,4,ALYSHA COLLETT,Jason Coyle,2.9,1.0,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,WESTGROVE,3,MOLLY BOURKE,Stuart Warden,61.0,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,INSANE VOLT,5,SINEAD PEEBLES,Todd Smart,13.0,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,HERE COMES HOGAN,2,ASHLEY MORGAN,Matthew Smith,3.7,4.0,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,MISS SCOOP,7,NOT NOTIFIED,Matthew Dale,5.0,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,DENI GAL,1,KEAGAN LATHAM,Terry Robinson,3.2,2.0,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,ARABIAN SOO,3,NOT NOTIFIED,Theresa Bateup,8.5,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,4,VEREEVA,6,JESS TAYLOR,Brian Adams,15.0,,1100,BM58,GOOD4,FINE,10
2025-04-20,NOWRA,5,YESGLENN,6,KEAGAN LATHAM,John Steinmetz,41.0,2.0,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,HE LIKES TO PARTY,1,JEAN VAN OVERMEIRE,David Pfieffer,34.0,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,KNIGHTS REIGN,8,MOLLY BOURKE,Gary Portelli,3.5,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,EGYPTIAN STAR,7,JESS TAYLOR,Jason Coyle,71.0,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,MAGENTA SHORES,9,JEFF PENZA,Lee & Cherie Curtis,3.5,3.0,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,SENSATIONAL WIND,11,LOUISE DAY,Ciaron Maher,2.5,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,CITY ROCKSTAR,5,SHAUN GUYMER,Con Karakatsanis,101.0,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,MILLIE DE LUNE,2,ASHLEY MORGAN,Matthew Smith,5.0,,1400,MDN,GOOD4,FINE,11
2025-04-20,NOWRA,5,PHARALINE,3,PIERRE BOUDVILLAIN,Sarah Murray-Leslie,19.0,4.0,1400,MDN,GOOD4,FINE,11
