Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-04-11,PORT MACQUARIE,1,CLUSTER'S GENERAL,6,NOT NOTIFIED,Brett Bellamy,13.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,CALEDONIAN,9,TEIGHAN WORSNOP,Karen Owen,8.5,3.0,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,MOROCCAN THUNDER,8,AARON BULLOCK,Todd Howlett,1.9,1.0,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,ROSIE'S REYNE,3,LUKE ROLLS,Grady Spokes,126.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,FINDING ELLE,7,LIAM BLANCH,John Higgins,51.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,MUM KNOWS,4,BEN LOOKER,Paul Smith,6.0,2.0,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,RELEASETHEWOLVES,2,JON GRISEDALE,Brett Bellamy,10.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,SAME TERMS,6,LEANNE BOYD,Matthew Robinson,41.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,MARS LANDING,5,EMILY FARR,Terry Evans,6.5,4.0,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,1,ZOUSILENCE,1,ASHLEY MORGAN,Todd Howlett,10.0,,1200,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,2,JUSTICE WARRIOR,1,ASHLEY MORGAN,Kristen Buchanan,1.8,2.0,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,BABY RYAN,7,JON GRISEDALE,Brett Bellamy,18.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,SIVO,3,AARON BULLOCK,Daniel Wheeler,17.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,HEY DAISY,6,JETT NEWMAN,Paul Shailer,2.5,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,LITTLE LUCCIOLA,6,SHAE WILKES,Wayne Wilkes,51.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,TOUCHATISM,5,BEN LOOKER,Nick Mitchell,51.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,CASHAWAY GOLD,8,ANNA ROPER,Angela Davies,2.9,1.0,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,ANGELINTHENIGHTSKY,4,JEFF KEHOE,Jeff Kehoe,151.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,ANGELS CLOUD,11,NOT NOTIFIED,Marc Quinn,0.0,,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,BACKWARD GLANCE,9,LUKE ROLLS,Paul Perry,31.0,3.0,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,2,CHISATO,2,ANDREW GIBBONS,Kris Lees,8.0,4.0,1000,MDN,GOOD4,FINE,11
2025-04-11,PORT MACQUARIE,3,IMAREALAMERICAN,2,BENJAMIN OSMOND,Kris Lees,5.5,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,NEVIIM,1,AARON BULLOCK,Kristen Buchanan,2.8,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,SO YOU READY,8,ANNA ROPER,Kristen Buchanan,14.0,4.0,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,ALMALIKAT SARAH,5,ASHLEY MORGAN,Matthew Dunn,13.0,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,TAWFIQ TOM,3,LUKE ROLLS,Mark Minervini,3.5,2.0,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,BRASH 'N' WOOD,9,JON GRISEDALE,Brett Bellamy,151.0,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,FOO FIGHTER,5,JETT NEWMAN,Matthew Dunn,4.6,1.0,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,OPEN CIRCUIT,7,JESSICA DRURY,Terry Evans,151.0,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,PRINCE IS GAME,4,BEN LOOKER,Matthew Robinson,12.0,3.0,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,3,SUPERERO,6,JEFF KEHOE,Jeff Kehoe,151.0,,1500,MDN,GOOD4,FINE,10
2025-04-11,PORT MACQUARIE,4,COCO DREAMING,3,ANDREW GIBBONS,Angela Davies,3.1,2.0,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,PINS AND NEEDLES,11,TEIGHAN WORSNOP,Glen Milligan,10.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,EXCEED THE SKY,7,BENJAMIN OSMOND,Nathan Doyle,26.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,SMASHING DANCER,5,ANNA ROPER,Kim Waugh,12.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,SHOUTABOUTIT,6,AARON BULLOCK,Kristen Buchanan,3.3,4.0,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,BONJOUR MADAME,12,LUKE ROLLS,Mark Minervini,4.6,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,HOO HAA,2,MILLIE THOMPSON,Mark Cross,31.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,BODY OF VENUS,8,ASHLEY MORGAN,Nathan Doyle,5.0,1.0,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,MAGGIE SPARKLES,4,KACIE ADAMS,Paul Kelly,18.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,SHELLEY'S LOOKOUT,10,SIENA GRIMA,John Sprague,23.0,,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,PERSONAL SPACE,9,SHAE WILKES,Cathleen Rode,101.0,3.0,1100,CL1 FM,GOOD4,FINE,12
2025-04-11,PORT MACQUARIE,4,WITHOUT,1,JON GRISEDALE,Neil Godbolt,31.0,,1100,CL1 FM,GOOD4,FINE,12
